DATE,AHEMAN
1973-02-01,3.87
1973-03-01,3.88
1973-04-01,3.91
1973-05-01,3.93
1973-06-01,3.95
1973-07-01,3.97
1973-08-01,3.97
1973-09-01,4.04
1973-10-01,4.04
1973-11-01,4.07
1973-12-01,4.12
1974-01-01,4.12
1974-02-01,4.12
1974-03-01,4.15
1974-04-01,4.16
1974-05-01,4.24
1974-06-01,4.29
1974-07-01,4.32
1974-08-01,4.35
1974-09-01,4.43
1974-10-01,4.47
1974-11-01,4.49
1974-12-01,4.56
1975-01-01,4.56
1975-02-01,4.58
1975-03-01,4.62
1975-04-01,4.62
1975-05-01,4.64
1975-06-01,4.67
1975-07-01,4.70
1975-08-01,4.72
1975-09-01,4.79
1975-10-01,4.80
1975-11-01,4.83
1975-12-01,4.90
1976-01-01,4.92
1976-02-01,4.94
1976-03-01,4.97
1976-04-01,4.98
1976-05-01,5.03
1976-06-01,5.06
1976-07-01,5.10
1976-08-01,5.13
1976-09-01,5.22
1976-10-01,5.20
1976-11-01,5.25
1976-12-01,5.34
1977-01-01,5.37
1977-02-01,5.36
1977-03-01,5.40
1977-04-01,5.44
1977-05-01,5.48
1977-06-01,5.53
1977-07-01,5.57
1977-08-01,5.57
1977-09-01,5.67
1977-10-01,5.69
1977-11-01,5.73
1977-12-01,5.80
1978-01-01,5.85
1978-02-01,5.86
1978-03-01,5.88
1978-04-01,5.92
1978-05-01,5.95
1978-06-01,5.99
1978-07-01,6.06
1978-08-01,6.04
1978-09-01,6.16
1978-10-01,6.21
1978-11-01,6.27
1978-12-01,6.36
1979-01-01,6.38
1979-02-01,6.41
1979-03-01,6.45
1979-04-01,6.43
1979-05-01,6.51
1979-06-01,6.54
1979-07-01,6.59
1979-08-01,6.57
1979-09-01,6.68
1979-10-01,6.70
1979-11-01,6.75
1979-12-01,6.85
1980-01-01,6.84
1980-02-01,6.88
1980-03-01,6.94
1980-04-01,6.97
1980-05-01,7.01
1980-06-01,7.08
1980-07-01,7.16
1980-08-01,7.18
1980-09-01,7.30
1980-10-01,7.37
1980-11-01,7.47
1980-12-01,7.58
1981-01-01,7.61
1981-02-01,7.62
1981-03-01,7.68
1981-04-01,7.76
1981-05-01,7.80
1981-06-01,7.85
1981-07-01,7.89
1981-08-01,7.90
1981-09-01,8.03
1981-10-01,8.04
1981-11-01,8.08
1981-12-01,8.14
1982-01-01,8.29
1982-02-01,8.21
1982-03-01,8.24
1982-04-01,8.28
1982-05-01,8.32
1982-06-01,8.36
1982-07-01,8.41
1982-08-01,8.37
1982-09-01,8.45
1982-10-01,8.41
1982-11-01,8.46
1982-12-01,8.54
1983-01-01,8.56
1983-02-01,8.60
1983-03-01,8.59
1983-04-01,8.62
1983-05-01,8.64
1983-06-01,8.66
1983-07-01,8.71
1983-08-01,8.64
1983-09-01,8.76
1983-10-01,8.77
1983-11-01,8.84
1983-12-01,8.92
1984-01-01,8.95
1984-02-01,8.94
1984-03-01,8.97
1984-04-01,8.99
1984-05-01,8.99
1984-06-01,9.02
1984-07-01,9.05
1984-08-01,9.02
1984-09-01,9.11
1984-10-01,9.11
1984-11-01,9.18
1984-12-01,9.27
1985-01-01,9.31
1985-02-01,9.31
1985-03-01,9.33
1985-04-01,9.37
1985-05-01,9.36
1985-06-01,9.38
1985-07-01,9.42
1985-08-01,9.36
1985-09-01,9.43
1985-10-01,9.43
1985-11-01,9.50
1985-12-01,9.61
1986-01-01,9.57
1986-02-01,9.57
1986-03-01,9.59
1986-04-01,9.58
1986-05-01,9.58
1986-06-01,9.57
1986-07-01,9.59
1986-08-01,9.54
1986-09-01,9.60
1986-10-01,9.59
1986-11-01,9.65
1986-12-01,9.71
1987-01-01,9.70
1987-02-01,9.71
1987-03-01,9.72
1987-04-01,9.73
1987-05-01,9.73
1987-06-01,9.73
1987-07-01,9.73
1987-08-01,9.72
1987-09-01,9.85
1987-10-01,9.81
1987-11-01,9.87
1987-12-01,9.94
1988-01-01,9.95
1988-02-01,9.92
1988-03-01,9.95
1988-04-01,10.00
1988-05-01,10.02
1988-06-01,10.03
1988-07-01,10.04
1988-08-01,10.00
1988-09-01,10.13
1988-10-01,10.13
1988-11-01,10.20
1988-12-01,10.25
1989-01-01,10.26
1989-02-01,10.26
1989-03-01,10.29
1989-04-01,10.29
1989-05-01,10.30
1989-06-01,10.32
1989-07-01,10.35
1989-08-01,10.32
1989-09-01,10.43
1989-10-01,10.40
1989-11-01,10.45
1989-12-01,10.53
1990-01-01,10.52
1990-02-01,10.61
1990-03-01,10.69
1990-04-01,10.68
1990-05-01,10.75
1990-06-01,10.79
1990-07-01,10.81
1990-08-01,10.76
1990-09-01,10.89
1990-10-01,10.90
1990-11-01,10.90
1990-12-01,11.00
1991-01-01,10.98
1991-02-01,10.95
1991-03-01,10.99
1991-04-01,11.05
1991-05-01,11.09
1991-06-01,11.13
1991-07-01,11.17
1991-08-01,11.13
1991-09-01,11.24
1991-10-01,11.22
1991-11-01,11.27
1991-12-01,11.34
1992-01-01,11.24
1992-02-01,11.28
1992-03-01,11.32
1992-04-01,11.36
1992-05-01,11.40
1992-06-01,11.41
1992-07-01,11.40
1992-08-01,11.40
1992-09-01,11.48
1992-10-01,11.44
1992-11-01,11.49
1992-12-01,11.58
1993-01-01,11.56
1993-02-01,11.56
1993-03-01,11.58
1993-04-01,11.64
1993-05-01,11.66
1993-06-01,11.66
1993-07-01,11.66
1993-08-01,11.65
1993-09-01,11.80
1993-10-01,11.76
1993-11-01,11.83
1993-12-01,11.96
1994-01-01,11.92
1994-02-01,11.96
1994-03-01,11.95
1994-04-01,11.98
1994-05-01,11.98
1994-06-01,12.00
1994-07-01,12.00
1994-08-01,11.99
1994-09-01,12.13
1994-10-01,12.09
1994-11-01,12.16
1994-12-01,12.25
1995-01-01,12.22
1995-02-01,12.24
1995-03-01,12.25
1995-04-01,12.27
1995-05-01,12.27
1995-06-01,12.29
1995-07-01,12.35
1995-08-01,12.33
1995-09-01,12.45
1995-10-01,12.41
1995-11-01,12.46
1995-12-01,12.57
1996-01-01,12.63
1996-02-01,12.55
1996-03-01,12.50
1996-04-01,12.70
1996-05-01,12.69
1996-06-01,12.73
1996-07-01,12.76
1996-08-01,12.76
1996-09-01,12.88
1996-10-01,12.81
1996-11-01,12.89
1996-12-01,13.05
1997-01-01,13.01
1997-02-01,12.98
1997-03-01,13.04
1997-04-01,13.05
1997-05-01,13.05
1997-06-01,13.06
1997-07-01,13.05
1997-08-01,13.11
1997-09-01,13.20
1997-10-01,13.26
1997-11-01,13.34
1997-12-01,13.45
1998-01-01,13.37
1998-02-01,13.38
1998-03-01,13.43
1998-04-01,13.41
1998-05-01,13.43
1998-06-01,13.39
1998-07-01,13.28
1998-08-01,13.40
1998-09-01,13.56
1998-10-01,13.51
1998-11-01,13.56
1998-12-01,13.65
1999-01-01,13.61
1999-02-01,13.62
1999-03-01,13.68
1999-04-01,13.74
1999-05-01,13.78
1999-06-01,13.83
1999-07-01,13.84
1999-08-01,13.87
1999-09-01,14.05
1999-10-01,13.98
1999-11-01,14.03
1999-12-01,14.16
2000-01-01,14.16
2000-02-01,14.13
2000-03-01,14.17
2000-04-01,14.23
2000-05-01,14.20
2000-06-01,14.27
2000-07-01,14.28
2000-08-01,14.30
2000-09-01,14.45
2000-10-01,14.48
2000-11-01,14.55
2000-12-01,14.61
2001-01-01,14.52
2001-02-01,14.55
2001-03-01,14.57
2001-04-01,14.63
2001-05-01,14.66
2001-06-01,14.72
2001-07-01,14.76
2001-08-01,14.81
2001-09-01,14.92
2001-10-01,14.88
2001-11-01,15.00
2001-12-01,15.12
2002-01-01,15.09
2002-02-01,15.11
2002-03-01,15.14
2002-04-01,15.16
2002-05-01,15.20
2002-06-01,15.24
2002-07-01,15.23
2002-08-01,15.30
2002-09-01,15.41
2002-10-01,15.45
2002-11-01,15.52
2002-12-01,15.65
2003-01-01,15.61
2003-02-01,15.63
2003-03-01,15.62
2003-04-01,15.62
2003-05-01,15.64
2003-06-01,15.68
2003-07-01,15.68
2003-08-01,15.76
2003-09-01,15.87
2003-10-01,15.81
2003-11-01,15.92
2003-12-01,16.04
2004-01-01,15.97
2004-02-01,15.98
2004-03-01,16.00
2004-04-01,16.05
2004-05-01,16.04
2004-06-01,16.08
2004-07-01,16.03
2004-08-01,16.16
2004-09-01,16.36
2004-10-01,16.26
2004-11-01,16.32
2004-12-01,16.46
2005-01-01,16.42
2005-02-01,16.43
2005-03-01,16.42
2005-04-01,16.46
