"Index","dif1_earning_detr","dif1_gnp_detr","dif1_unemp"
"1968-01-01",0.000543419678346453,0.0076420510599179,-0.0666666666666602
"1968-04-01",-0.00243449386229287,-0.001063980592094,-0.26666666666667
"1968-07-01",0.00120635856075896,-0.00506567097939137,-0.0333333333333301
"1968-10-01",0.000189129508403434,0.00655886554337103,-0.1
"1969-01-01",-0.00348897222214102,-0.00610803539600049,0.0333333333333301
"1969-04-01",0.00149386131421078,-0.00260366831447592,0.0333333333333301
"1969-07-01",-0.00405876359444111,-0.0136978492957566,0.13333333333334
"1969-10-01",-0.00745034311681819,-0.0101284288888158,0
"1970-01-01",-0.00432198225016645,-0.00717175984660207,0.5
"1970-04-01",0.00326167865245523,0.000242650747482572,0.5
"1970-07-01",-0.0130065541224658,-0.0200163041537699,0.399999999999999
"1970-10-01",0.0109977991230084,0.0189773795692269,0.56666666666666
