"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"1953-01-01",1.58333333333333,1.59,2717.467,14.347,2.43333333333333,11.0359889407774
"1953-04-01",1.61333333333333,1.61333333333333,2739.305,14.376,2.33333333333333,11.2224077165646
"1953-07-01",1.63,1.62666666666667,2722.219,14.436,2.26666666666667,11.2912164034359
"1953-10-01",1.64666666666667,1.64,2681.277,14.463,2.53333333333333,11.3853741731775
"1954-01-01",1.65,1.66,2669.682,14.509,3.86666666666667,11.3722517058378
"1954-04-01",1.65,1.65666666666667,2672.491,14.523,5,11.3612889898781
"1954-07-01",1.66666666666667,1.66333333333333,2702.702,14.542,5.33333333333333,11.4610553339752
"1954-10-01",1.66333333333333,1.65666666666667,2757.292,14.582,5.46666666666667,11.4067571892287
"1955-01-01",1.68333333333333,1.69,2835.923,14.651,4.66666666666667,11.4895456510363
"1955-04-01",1.70666666666667,1.71,2881.465,14.712,4.23333333333333,11.6005075222041
"1955-07-01",1.73666666666667,1.73666666666667,2920.33,14.816,3.73333333333333,11.721562275018
"1955-10-01",1.76666666666667,1.75666666666667,2938.163,14.962,3.73333333333333,11.8076905939491
"1956-01-01",1.78,1.78666666666667,2928.881,15.111,3.66666666666667,11.7794983786645
"1956-04-01",1.80333333333333,1.80666666666667,2952.705,15.201,3.53333333333333,11.8632546104423
"1956-07-01",1.82666666666667,1.82333333333333,2950.552,15.391,3.83333333333333,11.8684079440366
"1956-10-01",1.86666666666667,1.85333333333333,2996.248,15.453,3.5,12.0796393364827
"1957-01-01",1.89666666666667,1.90333333333333,3018.576,15.665,3.73333333333333,12.1076710288329
"1957-04-01",1.91333333333333,1.91666666666667,3013.634,15.775,3.36666666666667,12.1288959323825
"1957-07-01",1.92333333333333,1.92666666666667,3041.953,15.869,3.63333333333333,12.1200663767933
"1957-10-01",1.95,1.93666666666667,3006.169,15.881,3.86666666666667,12.2788237516529
"1958-01-01",1.95333333333333,1.96,2929.045,16.052,4.8,12.1687847827893
"1958-04-01",1.95666666666667,1.96,2948.476,16.099,6.26666666666667,12.153964014328
"1958-07-01",1.97666666666667,1.97666666666667,3015.645,16.197,6.8,12.2039060731411
"1958-10-01",2.00333333333333,1.98666666666667,3085.566,16.274,6.4,12.3100241694318
"1959-01-01",2.03666666666667,2.04333333333333,3144.385,16.312,5.5,12.4856956024195
"1959-04-01",2.06666666666667,2.06666666666667,3214.929,16.338,4.96666666666667,12.6494470967479
"1959-07-01",2.08666666666667,2.08666666666667,3218.557,16.401,4.46666666666667,12.7228014551958
"1959-10-01",2.07333333333333,2.05666666666667,3228.859,16.465,4.76666666666667,12.5923676485474
"1960-01-01",2.10333333333333,2.11333333333333,3300.197,16.532,4.8,12.7228002258247
"1960-04-01",2.14,2.14,3282.953,16.573,4.46666666666667,12.9125686357328
"1960-07-01",2.14,2.14,3299.784,16.63,4.7,12.8683102826218
"1960-10-01",2.15666666666667,2.14333333333333,3258.882,16.679,5.03333333333333,12.9304314807043
"1961-01-01",2.15666666666667,2.16333333333333,3282.018,16.715,5.7,12.9025825107189
"1961-04-01",2.16666666666667,2.17333333333333,3336.135,16.754,6.16666666666667,12.9322350881382
"1961-07-01",2.2,2.2,3400.249,16.798,6.3,13.0967972377664
"1961-10-01",2.21666666666667,2.2,3466.998,16.851,5.76666666666667,13.1545111071549
"1962-01-01",2.24,2.25333333333333,3528.263,16.938,5.2,13.2247018538198
"1962-04-01",2.26,2.26333333333333,3562.183,16.966,4.76666666666667,13.3207591653896
"1962-07-01",2.26666666666667,2.27,3605.884,17.002,4.8,13.3317648904051
"1962-10-01",2.28333333333333,2.26666666666667,3621.456,17.038,4.86666666666667,13.4014164416794
"1963-01-01",2.29333333333333,2.30666666666667,3659.288,17.112,4.93333333333333,13.4019011999377
"1963-04-01",2.31666666666667,2.32,3699.001,17.142,4.9,13.5145646171197
"1963-07-01",2.34,2.33666666666667,3780.236,17.165,4.76666666666667,13.6323914943198
"1963-10-01",2.35333333333333,2.33666666666667,3805.718,17.305,4.56666666666667,13.5991524607532
"1964-01-01",2.37666666666667,2.38333333333333,3887.879,17.359,4.73333333333333,13.6912648578067
"1964-04-01",2.38666666666667,2.38666666666667,3928.673,17.399,4.53333333333333,13.7172634442592
"1964-07-01",2.40666666666667,2.40333333333333,3990.488,17.469,4.23333333333333,13.7767855439159
"1964-10-01",2.42,2.41,4000.567,17.548,4.16666666666667,13.7907453840894
"1965-01-01",2.43666666666667,2.44666666666667,4100.549,17.637,3.96666666666667,13.8156526998167
"1965-04-01",2.46666666666667,2.47,4152.994,17.718,3.93333333333333,13.9218120931633
"1965-07-01",2.49,2.48666666666667,4242.267,17.787,3.63333333333333,13.9989880249621
"1965-10-01",2.51,2.5,4336.508,17.909,3.4,14.0152995700486
"1966-01-01",2.53,2.54,4442.347,18.025,3.2,14.0360610263523
"1966-04-01",2.56666666666667,2.56666666666667,4457.473,18.172,2.96666666666667,14.1242937853107
"1966-07-01",2.58666666666667,2.58666666666667,4494.311,18.348,2.93333333333333,14.0978126589637
"1966-10-01",2.62666666666667,2.61333333333333,4532.239,18.502,2.86666666666667,14.196663423774
"1967-01-01",2.64666666666667,2.65666666666667,4571.739,18.579,2.96666666666667,14.2454742809983
"1967-04-01",2.67333333333333,2.67333333333333,4573.684,18.673,3.03333333333333,14.3165711633553
"1967-07-01",2.69666666666667,2.69666666666667,4619.678,18.852,2.96666666666667,14.3044062522102
"1967-10-01",2.73333333333333,2.72,4653.35,19.062,3,14.3391739236876
"1968-01-01",2.77666666666667,2.79,4748.414,19.274,3,14.4062813462004
"1968-04-01",2.83666666666667,2.83666666666667,4827.866,19.477,2.86666666666667,14.5641868186408
"1968-07-01",2.88,2.88,4866.004,19.669,2.7,14.6423305709492
"1968-10-01",2.91666666666667,2.91,4884.762,19.946,2.63333333333333,14.6228149336542
"1969-01-01",2.97333333333333,2.98333333333333,4960.831,20.151,2.56666666666667,14.7552644202935
"1969-04-01",3.01333333333333,3.01333333333333,4974.574,20.407,2.6,14.7661750053086
"1969-07-01",3.05666666666667,3.05333333333333,5005.77,20.694,2.66666666666667,14.7707870236139
"1969-10-01",3.11666666666667,3.11,4981.491,20.961,2.83333333333333,14.8688834820222
"1970-01-01",3.15,3.16,4974.96,21.256,2.8,14.819345126082
"1970-04-01",3.18333333333333,3.18666666666667,4983.053,21.553,3.46666666666667,14.7697922949628
"1970-07-01",3.23666666666667,3.23333333333333,5028.206,21.73,3.93333333333333,14.894922534131
"1970-10-01",3.27,3.26333333333333,4971.917,22.017,4.26666666666667,14.8521596947813
"1971-01-01",3.31333333333333,3.33,5111.649,22.352,4.9,14.8234311620138
"1971-04-01",3.39666666666667,3.4,5141.055,22.646,4.9,14.9989696487974
"1971-07-01",3.44666666666667,3.44333333333333,5179.491,22.877,4.83333333333333,15.0660780113943
"1971-10-01",3.48666666666667,3.47666666666667,5193.447,23.068,4.9,15.1147332524132
"1972-01-01",3.53666666666667,3.55666666666667,5289.841,23.418,4.86666666666667,15.1023429270931
"1972-04-01",3.63,3.63333333333333,5408.498,23.564,4.6,15.4048548633509
"1972-07-01",3.68,3.67666666666667,5462.281,23.79,4.63333333333333,15.4686843211433
"1972-10-01",3.75333333333333,3.74333333333333,5552.854,24.094,4.5,15.5778755430121
"1973-01-01",3.82666666666667,3.84333333333333,5695.383,24.373,4.13333333333333,15.700433539846
"1973-04-01",3.88666666666667,3.88666666666667,5759.926,24.749,3.96666666666667,15.7043382224198
"1973-07-01",3.95333333333333,3.95,5737.956,25.23,3.83333333333333,15.6691769058
"1973-10-01",4.02666666666667,4.01666666666667,5792.293,25.734,3.73333333333333,15.647263024274
"1974-01-01",4.08666666666667,4.10333333333333,5752.963,26.217,3.93333333333333,15.5878501226939
"1974-04-01",4.14666666666667,4.14333333333333,5762.854,26.835,4.06666666666667,15.4524563691696
"1974-07-01",4.29333333333333,4.28333333333333,5703.217,27.621,4.16666666666667,15.5437288053776
